name;artist;album;release_date;duration_ms;popularity;genres
:*:·’☆ brillan las estrellas ☆:·:*:·;María Escarmiento, Fran Laoren, detunedfreq;SENSACIÓN DE CALOR;2023-06-16;177536;25;['hyperpop']
QUÉ MÁS DA;Xenia, Margarita Quebrada;QUÉ MÁS DA;2023-07-07;153333;23;['darkwave', 'post-punk', 'cold wave']
fireflies;detunedfreq;fireflies;2023-10-16;205241;12;['hyperpop']
QUÉ MÁS DA;Xenia, Margarita Quebrada;QUÉ MÁS DA;2023-07-07;153333;23;['darkwave', 'post-punk', 'cold wave']
El Reloj;Dafresito, LocoAlien;199X;2021-12-03;120322;24;['hyperpop']
Hallo Polizei;Jessovski, Fixed withGlue;Hallo Polizei;2023-11-24;122138;35;[]
Heart Blood Beat;Reptile Youth;Reptile Youth;2012-09-24;216894;10;['electronic rock']
Finale House Kick Long 08;Luigi Finale;Kick it;2018-06-14;96000;17;[]
PUNK;Flashy Ice Cream, Sr. Chen;HANGOVER;2022-02-18;219129;7;[]
Éxtasis;Millonario & W. Corona, Cartel De Santa;Así Soy Yo;2012-01-17;289013;70;['mexican hip hop', 'latin hip hop']
Lol;Los Ganglios;Lubricante;2014-09-29;189053;10;['electroclash']
La Carretera (VVV Crash Team Raving Remix);Triángulo de Amor Bizarro, VVV [Trippin'you];La Carretera (VVV Crash Team Raving Remix);2023-11-15;268347;0;['darkwave', 'post-punk', 'cold wave']
Satan Was A Babyboomer;Brutalismus 3000;Satan Was A Babyboomer;2021-04-16;427000;55;['techno', 'hard techno', 'acid techno', 'rave', 'gabber', 'tekno']
444 (La señal);Xina Mora, Fectro, Xema Fuentes;444 (La señal);2023-06-16;176352;43;['techno', 'hard techno', 'tekno']
Maribou State - Wallflower (Broken Lip Re-Work);Broken Lip;Gazpachuelo (VOL.1);2022-01-19;268714;9;[]
Horse;Salvatore Ganacci;Horse;2019-04-17;173588;45;['moombahton']
We Were Late To The Party;Xhulotek, Mamá Lavanda;We Were Late To The Party;2022-04-04;206769;5;['tekno']
APARTA;Amygdala, Iced Coffeeboy;APARTA;2023-10-06;187692;29;['techno', 'tekno']
Ay K Emocion - YUNG PRADO Remix;Chill Mafia Records, YUNG PRADO;Ay Ke Emoción (Yung Prado Remix);2021-10-14;266180;31;[]
Tech Love (Otra Vez);Chico Blanco;Life After House;2019-02-15;327597;0;[]
Bad Girls Need Love Too - Extended Version;The Toxic Avenger;Bad Girls Need Love Too;2008-10-17;294545;40;['synthwave']
Deva - Fugitivo Vol. 6 - Remix;Rico Rosa, DEVA;FUGITIVO (SEASON 1);2022-07-29;146134;28;['latin r&b']
Romantika;Brutalismus 3000;Eros Massacre;2022-04-29;250145;58;['techno', 'hard techno', 'acid techno', 'rave', 'gabber', 'tekno']
Muchos Hijos Un Mono y Un Castillo;Claudio Montana;Muchos Hijos Un Mono y Un Castillo;2020-05-06;92029;40;[]
Kiero K Me Kieras;SoFTT;Kiero K Me Kieras;2023-05-31;223098;28;['neoperreo']
Outlaw - Melodic Techno Extended Mix;Intelligency;Outlaw;2023-06-09;306555;5;[]
Take A Step Back;Dr. Fresch, Marten Hørger;Take A Step Back;2020-11-06;160000;51;['tech house', 'g-house', 'bass house']
Rolling with the Bassline;Venjent;Rolling with the Bassline;2024-02-15;143448;19;['drum and bass']
It's That Time;Marlon Hoffstadt, DJ Daddy Trance;It's That Time;2023-04-21;240250;64;['techno', 'hard house', 'trance', 'eurodance']
Fleece;Crystal Castles;Amnesty (I);2016-08-19;155106;48;['witch house', 'alternative dance', 'electroclash', 'new rave']
Char;Crystal Castles;Amnesty (I);2016-08-19;188333;60;['witch house', 'alternative dance', 'electroclash', 'new rave']
Pap Smear;Crystal Castles;Crystal Castles (II);2010-01-01;222946;49;['witch house', 'alternative dance', 'electroclash', 'new rave']
Mother Knows Best - 2004 Version;Crystal Castles;Celestica;2010-01-01;121366;37;['witch house', 'alternative dance', 'electroclash', 'new rave']
Kerosene;Crystal Castles;(III);2012-01-01;192000;68;['witch house', 'alternative dance', 'electroclash', 'new rave']
Not In Love - Radio Version;Crystal Castles, Robert Smith;(II);2011-01-01;226986;54;['witch house', 'alternative dance', 'electroclash', 'new rave']
Soy un Alien;John Pollõn;Soy un Alien;2024-01-26;147391;30;[]
Es la forma que tienes de ocultar algo que hay en tu mente;Aiko el grupo, Axolotes Mexicanos;Me están apuntando con un arma;2023-10-06;151065;32;[]
ROCKETPOWERS;Dillom, Saramalacara;POST MORTEM;2021-12-01;188238;54;['trap', 'hyperpop', 'argentine trap']
