name;artist;album;release_date;duration_ms;popularity;genres
Birra, Humo y Reflexiones;Hard GZ;Kaos Nomada;2018-07-27;221224;40;[]
Caja de Cristal;Hard GZ;Kaos Nomada;2018-07-27;179182;33;[]
Mirada al Cielo;Hard GZ;Kaos Nomada;2018-07-27;169208;24;[]
Filosofía;Hard GZ;Kaos Nomada;2018-07-27;212000;29;[]
Secretos;Hard GZ;Kaos Nomada;2018-07-27;189500;24;[]
Vamos Viendo;Hard GZ;Kaos Nomada;2018-07-27;289666;24;[]
Mierda;Hard GZ;Kaos Nomada;2018-07-27;195976;22;[]
Energía;Hard GZ;Kaos Nomada;2018-07-27;216591;21;[]
Afrohard;Hard GZ;Kaos Nomada;2018-07-27;195026;32;[]
Cae la Noche;Hard GZ, Dollar Selmouni;Kaos Nomada;2018-07-27;250909;47;[]
Extrayendo del Extracto;Hard GZ;Kaos Nomada;2018-07-27;171473;25;[]
Vegeta;Luck;Rookie Luck;2020-05-02;169569;46;[]
La ley del más fuerte;Jaloner, Dabeunotres;La ley del más fuerte;2016-03-16;176404;4;['boom bap']
Descarao;Jaloner, Dabeunotres;Descarao;2016-11-08;231732;2;['boom bap']
Cactus;Jaloner, Dabeunotres;Cactus;2016-04-06;217051;3;['boom bap']
Mandelbrot Conoce a Foucault;Jaloner, Dabeunotres;Mandelbrot Conoce a Foucault;2020-08-14;168350;0;['boom bap']
Viento en pop-up;Jaloner, Dabeunotres;Viento en pop-up;2021-04-19;177333;0;['boom bap']
Fruta inmadura;Jaloner, Ruinseñor, Talym Kolor;Fruta inmadura;2021-12-07;228333;0;[]
Llaves;No Human Sound, Jaloner;Llaves;2023-05-01;169141;13;[]
Blue Alien;No Human Sound, Jaloner;Blue Alien;2023-07-12;136903;17;[]
La última llave;No Human Sound, Jaloner;La última llave;2023-07-12;169712;15;[]
HOY;Klan, Jaloner, ISSY, UANTI, Devak24;HOY;2024-05-15;240000;24;['argentine trap', 'latin hip hop']
Cypher MND #17 v.1: Jaloner & DJ Totaim;Mundialista Crew, Jaloner, dj totaim;Cypher MND #17: Jaloner;2024-05-28;197045;23;['argentine trap']
Cypher MND #17 v.2: Jaloner;Mundialista Crew, Jaloner;Cypher MND #17: Jaloner;2024-05-28;193725;21;['argentine trap']
Es Una Trampa;Santoz, Jaloner;Es Una Trampa;2024-06-21;213336;25;['argentine trap', 'trap']
LOS PROHIBIDOS;Kamada, Jaloner;LOS PROHIBIDOS;2024-07-18;174065;28;['latin hip hop', 'boom bap']
Comité de Olvidados;935, Natos y Waor, Recycled J;Reload;2013-04-12;309054;3;[]
Metacrilato;Ayax y Prok;Metacrilato;2017-03-12;180000;28;['rap']
Выжившие;TREZV;Выжившие;2023-09-28;152547;10;[]
